Time,TeamHome,ResultTeamHome,ResultTeamAway,TeamAway,Date
10:30,Denizlispor,2,0,Yeni Malatyaspor,Mac 1 2020
13:00,Ankaragucu,0,3,Sivasspor,Mac 1 2020
16:00,Galatasaray,3,0,Genclerbirligi,Mac 1 2020
17:00,Istanbul Basaksehir,3,1,Gaziantep FK,Mac 2 2020
17:00,Kayserispor,1,0,Goztepe,Mac 2 2020
17:00,Besiktas,2,1,Ankaragucu,Mac 6 2020
11:00,Yeni Malatyaspor,1,1,Konyaspor,Mac 7 2020
14:00,Gaziantep FK,1,1,Trabzonspor,Mac 7 2020
14:00,Goztepe,0,3,Istanbul Basaksehir,Mac 7 2020
17:00,Fenerbahce,2,2,Denizlispor,Mac 7 2020
10:30,Kasimpasa,5,1,Kayserispor,Mac 8 2020
13:00,Rizespor,1,1,Alanyaspor,Mac 8 2020
16:00,Sivasspor,2,2,Galatasaray,Mac 8 2020
17:00,Genclerbirligi,1,1,Antalyaspor,Mac 9 2020
17:00,Yeni Malatyaspor,1,3,Trabzonspor,Mac 11 2020
17:00,Ankaragucu,2,1,Rizespor,Mac 13 2020
17:00,Kasimpasa,2,0,Goztepe,Mac 13 2020
11:00,Denizlispor,1,0,Genclerbirligi,Mac 14 2020
14:00,Alanyaspor,1,0,Gaziantep FK,Mac 14 2020
17:00,Konyaspor,1,0,Fenerbahce,Mac 14 2020
10:30,Kayserispor,2,1,Yeni Malatyaspor,Mac 15 2020
13:00,Trabzonspor,1,1,Istanbul Basaksehir,Mac 15 2020
16:00,Galatasaray,0,0,Besiktas,Mac 15 2020
17:00,Antalyaspor,1,0,Sivasspor,Mac 16 2020
17:00,Goztepe,2,0,Rizespor,Mac 17 2020
11:00,Antalyaspor,0,0,Konyaspor,Feb 1 2020
14:00,Rizespor,1,2,Besiktas,Feb 1 2020
17:00,Trabzonspor,2,1,Fenerbahce,Feb 1 2020
10:30,Ankaragucu,1,1,Kasimpasa,Feb 2 2020
13:00,Gaziantep FK,5,1,Sivasspor,Feb 2 2020
13:00,Alanyaspor,2,1,Yeni Malatyaspor,Feb 2 2020
16:00,Galatasaray,4,1,Kayserispor,Feb 2 2020
17:00,Denizlispor,1,1,Goztepe,Feb 3 2020
17:00,Yeni Malatyaspor,0,1,Ankaragucu,Feb 7 2020
11:00,Konyaspor,0,0,Denizlispor,Feb 8 2020
14:00,Genclerbirligi,0,2,Trabzonspor,Feb 8 2020
14:00,Besiktas,3,0,Gaziantep FK,Feb 8 2020
17:00,Fenerbahce,1,1,Alanyaspor,Feb 8 2020
10:30,Kayserispor,2,2,Antalyaspor,Feb 9 2020
13:00,Sivasspor,1,1,Istanbul Basaksehir,Feb 9 2020
16:00,Kasimpasa,0,3,Galatasaray,Feb 9 2020
17:00,Istanbul Basaksehir,1,0,Besiktas,Feb 14 2020
11:00,Denizlispor,0,1,Kayserispor,Feb 15 2020
14:00,Konyaspor,1,3,Goztepe,Feb 15 2020
17:00,Ankaragucu,2,1,Fenerbahce,Feb 15 2020
10:30,Alanyaspor,0,1,Genclerbirligi,Feb 16 2020
13:00,Trabzonspor,2,1,Sivasspor,Feb 16 2020
16:00,Galatasaray,1,0,Yeni Malatyaspor,Feb 16 2020
17:00,Antalyaspor,3,1,Kasimpasa,Feb 17 2020
17:00,Gaziantep FK,2,0,Rizespor,Feb 17 2020
17:00,Sivasspor,1,0,Alanyaspor,Feb 21 2020
11:00,Kayserispor,2,2,Konyaspor,Feb 22 2020
14:00,Goztepe,1,1,Gaziantep FK,Feb 22 2020
17:00,Besiktas,2,2,Trabzonspor,Feb 22 2020
10:30,Yeni Malatyaspor,1,2,Antalyaspor,Feb 23 2020
13:00,Genclerbirligi,1,0,Ankaragucu,Feb 23 2020
16:00,Fenerbahce,1,3,Galatasaray,Feb 23 2020
17:00,Kasimpasa,2,0,Denizlispor,Feb 24 2020
17:00,Rizespor,1,2,Istanbul Basaksehir,Feb 24 2020
17:00,Alanyaspor,1,2,Besiktas,Feb 28 2020
11:00,Konyaspor,0,0,Kasimpasa,Feb 29 2020
14:00,Trabzonspor,5,2,Rizespor,Feb 29 2020
17:00,Antalyaspor,2,2,Fenerbahce,Feb 29 2020
17:00,Ankaragucu,0,1,Konyaspor,Jan 17 2020
11:00,Alanyaspor,5,1,Kayserispor,Jan 18 2020
14:00,Istanbul Basaksehir,4,1,Yeni Malatyaspor,Jan 18 2020
17:00,Gaziantep FK,0,2,Fenerbahce,Jan 18 2020
10:30,Antalyaspor,0,3,Goztepe,Jan 19 2020
13:00,Galatasaray,2,1,Denizlispor,Jan 19 2020
13:00,Trabzonspor,6,0,Kasimpasa,Jan 19 2020
16:00,Besiktas,1,2,Sivasspor,Jan 19 2020
17:00,Rizespor,2,0,Genclerbirligi,Jan 20 2020
17:00,Genclerbirligi,1,0,Gaziantep FK,Jan 24 2020
11:00,Kayserispor,1,1,Ankaragucu,Jan 25 2020
14:00,Kasimpasa,1,2,Alanyaspor,Jan 25 2020
17:00,Fenerbahce,2,0,Istanbul Basaksehir,Jan 25 2020
10:30,Denizlispor,0,3,Antalyaspor,Jan 26 2020
13:00,Goztepe,2,1,Besiktas,Jan 26 2020
16:00,Konyaspor,0,3,Galatasaray,Jan 26 2020
17:00,Sivasspor,1,1,Rizespor,Jan 27 2020
17:00,Istanbul Basaksehir,3,1,Genclerbirligi,Jan 31 2020
11:00,Gaziantep FK,1,2,Denizlispor,Des 1 2019
13:30,Istanbul Basaksehir,2,0,Antalyaspor,Des 1 2019
16:00,Trabzonspor,1,1,Galatasaray,Des 1 2019
17:00,Besiktas,4,1,Kayserispor,Des 2 2019
17:30,Fenerbahce,5,2,Genclerbirligi,Des 6 2019
12:00,Yeni Malatyaspor,1,3,Sivasspor,Des 7 2019
14:30,Ankaragucu,1,3,Goztepe,Des 7 2019
17:00,Galatasaray,1,0,Alanyaspor,Des 7 2019
11:00,Konyaspor,0,0,Gaziantep FK,Des 8 2019
13:30,Denizlispor,1,1,Istanbul Basaksehir,Des 8 2019
13:30,Antalyaspor,1,3,Trabzonspor,Des 8 2019
16:00,Kasimpasa,2,3,Besiktas,Des 8 2019
17:00,Kayserispor,1,0,Rizespor,Des 9 2019
17:30,Alanyaspor,0,0,Antalyaspor,Des 13 2019
12:00,Rizespor,0,3,Kasimpasa,Des 14 2019
14:00,Genclerbirligi,3,1,Goztepe,Des 14 2019
17:00,Galatasaray,2,2,Ankaragucu,Des 14 2019
11:00,Gaziantep FK,3,0,Kayserispor,Des 15 2019
13:30,Sivasspor,3,1,Fenerbahce,Des 15 2019
16:00,Besiktas,0,2,Yeni Malatyaspor,Des 15 2019
17:00,Istanbul Basaksehir,1,1,Konyaspor,Des 16 2019
17:00,Trabzonspor,1,2,Denizlispor,Des 16 2019
17:30,Antalyaspor,2,2,Ankaragucu,Des 20 2019
12:00,Yeni Malatyaspor,0,2,Rizespor,Des 21 2019
14:30,Kasimpasa,3,4,Gaziantep FK,Des 21 2019
17:00,Goztepe,2,1,Galatasaray,Des 21 2019
11:00,Genclerbirligi,2,2,Sivasspor,Des 22 2019
13:30,Kayserispor,1,4,Istanbul Basaksehir,Des 22 2019
16:00,Fenerbahce,3,1,Besiktas,Des 22 2019
17:00,Denizlispor,1,5,Alanyaspor,Des 23 2019
17:00,Konyaspor,0,1,Trabzonspor,Des 23 2019
